,Unnamed: 0,GENERATOR,UNIT,PLANT_ID,PNODE,ISO,CLUSTER,RETIRED_DATE,FUEL,new_gas_multiplier,new_gas_intercept,F1-score,R-squared,nat_gas_coeffs_exist
0,0,08HENCO  GEN1,1,7763,CIN.HENRYCO.1,miso,08HENCO,,NG,9.471581736883849,6.869684499314128,0.652862218141829,0.989871123118344,0
1,1,08HENCO  GEN2,2,7763,CIN.HENRYCO.1,miso,08HENCO,,NG,9.60662025415304,7.495198902606309,0.6508951102549102,0.9849043564005826,0
2,2,08HENCO  GEN3,3,7763,CIN.HENRYCO.1,miso,08HENCO,,NG,9.775512384074643,7.165980795610423,0.6536717414190414,0.9931500282093422,0
3,22,16EAG_VA CT1,GT1,991,IPL.16EVCT7,miso,16EAG_VA,,NG,6.016433519319471,-4.762688614540468,0.9721344831141978,0.9900294059915942,1
4,23,16EAG_VA CT2,GT2,991,IPL.16EVCT7,miso,16EAG_VA,,NG,5.9843509189101765,-4.612711476909008,0.9750769161335378,0.9894302480382852,1
5,25,16GEORGE 16GEORG1_1G,GT1,7759,IPL.16GEOR11G,miso,16GEORGE,,NG,14.40506670999524,0.3877457704618194,0.6891449300224666,0.9312903327790888,0
6,26,16GEORGE 16GEORG2_2G,GT2,7759,IPL.16GEOR11G,miso,16GEORGE,,NG,15.641252929332303,7.879286694101508,0.6203776315552972,0.9548975917620472,0
7,27,16GEORGE 16GEORG3_3G,GT3,7759,IPL.16GEOR11G,miso,16GEORGE,,NG,13.65973399515372,11.438500228623685,0.5996085956953239,0.9658154481242052,0
8,28,16GEORGE 16GEORG4_4G,GT4,7759,IPL.16GEOR11G,miso,16GEORGE,,NG,12.958445881436386,1.9899405578417928,0.7353087036314534,0.9657838469777124,0
9,29,16STOUTC STC4,GT4,990,IPL.16STOC4C4,miso,16STOUTC,,NG,9.565085709488717,-0.0475537265660722,0.5853782573312731,0.9893466837512565,1
10,30,16STOUTC STC5,GT5,990,IPL.16STOC4C4,miso,16STOUTC,,NG,9.666938258603196,-0.0292638317329675,0.5734721295782746,0.992317489752414,1
11,31,16STOUTC STC6,GT6,990,IPL.16STOC4C4,miso,16STOUTC,,NG,9.037745161905804,11.445816186556929,0.4674158783376477,0.9560709060530446,1
