,GENERATOR,UNIT,PLANT_ID,PNODE,ISO,CLUSTER,RETIRED_DATE,FUEL,new_gas_multiplier,new_gas_intercept,F1-score,R-squared
0,08MRKLND 08M1,1,1005,CIN.MARKLND.1,miso,08MRKLND,,WAT,0,16.5,0.8954242274409581,
1,08MRKLND 08M2,2,1005,CIN.MARKLND.1,miso,08MRKLND,,WAT,0,16.5,0.7818418380466651,
2,08MRKLND 08M3,3,1005,CIN.MARKLND.1,miso,08MRKLND,,WAT,0,16.5,0.7292622853090004,
3,ALCONA   HYDRO,"1, 2",1693,CONS.ALCONA,miso,ALCONA,,WAT,0,17.5,0.9999519224284237,
4,ALPENA   THBAY_HYDRO,"1, 2, 3, 4, 5",54340,CONS.ALPENTHBA,miso,ALPENA,,WAT,0,18.5,0.949192495835478,
5,BLAKLY   G1,1,197,EAI.BLAKELY1,miso,BLAKLY,,WAT,0,25.0,0.42465006483689605,
6,BLAKLY   G2,2,197,EAI.BLAKELY1,miso,BLAKLY,,WAT,0,24.5,0.5356031141871206,
7,BLNCHRD  BLNCHR123_UNIT,"1, 2, 3",1892,MP.BLNCHR123,miso,BLNCHRD,,WAT,0,10.0,0.9825570998609638,
8,BRULEHYD BRULE,"1, 2, 3",1775,MIUP.BRULEGHYD,miso,BRULEHYD,,WAT,0,15.0,0.9930978111769928,
9,CARPTR   G1,1,166,EAI.CARPEN1,miso,CARPTR,,WAT,0,15.0,0.5638042569635886,
10,CARPTR   G2,2,166,EAI.CARPEN1,miso,CARPTR,,WAT,0,15.0,0.5058682277713838,
11,CASTLER1 CAR_CAR_WPS,"1, 2, 3, 4, 5",4079,WPS.WPSM,miso,"CASTLER1,CASTLERO",,WAT,0,15.5,0.9926181983165564,
12,CEDARFAL CEDARF_A_UNIT,"1, 2, 3",3998,NSP.CEDARFAL,miso,CEDARFAL,,WAT,0,13.5,0.8399045838069004,
13,CHP00000 CHALK_HILL,"1, 2, 3",1776,MIUP.CHALKHILL,miso,CHP00000,,WAT,0,15.5,0.6256518138086666,
14,CHPFALLS CHP_TR1_UNIT,"1, 2, 3",4000,NSP.CHPFAL_TR1,miso,CHPFALLS,,WAT,0,14.5,0.7997280839050616,
15,CHPFALLS CHP_TR2_UNIT,"4, 5, 6",4000,NSP.CHPFAL_TR1,miso,CHPFALLS,,WAT,0,14.5,0.978318051014215,
16,COOKD    GEN1-3,"1, 2, 3",1700,CONS.CCG_1.AZ,miso,"COOKD,FOOTE,FIVCD,LOUD",,WAT,0,17.5,0.990591793206115,
17,CROTON   HYDRO,"1, 2, 3, 4",1701,CONS.CROTON,miso,CROTON,,WAT,0,17.5,0.954010734505862,
18,DECO_LUD LUD1,1,1713,DECO.LUD1,miso,"DECO_LUD,LUDINGT2",,WAT,0,35.5,0.4352008520541093,
19,DECO_LUD LUD2,2,1713,DECO.LUD1,miso,"DECO_LUD,LUDINGT2",,WAT,0,33.0,0.4971088022191512,
20,DECO_LUD LUD3,3,1713,DECO.LUD1,miso,"DECO_LUD,LUDINGT2",,WAT,0,36.0,0.3226593494068057,
21,DECO_LUD LUD4,4,1713,DECO.LUD1,miso,"DECO_LUD,LUDINGT2",,WAT,0,32.5,0.3880025894348564,
22,DECO_LUD LUD5,5,1713,DECO.LUD1,miso,"DECO_LUD,LUDINGT2",,WAT,0,32.5,0.3240995930572454,
23,DECO_LUD LUD6,6,1713,DECO.LUD1,miso,"DECO_LUD,LUDINGT2",,WAT,0,33.0,0.24291239868437559,
24,DEGRAY   G1,1,187,EAI.CC.DEGRAY,miso,DEGRAY,,WAT,0,19.5,0.3825947025682057,
25,DEGRAY   G2,2,187,EAI.CC.DEGRAY,miso,DEGRAY,,WAT,0,17.5,0.46396730420566296,
26,ELLOTPK  PK_SAF_1_UNIT,"1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9",57665,NSP.ELLIOTPK1,miso,ELLOTPK,,WAT,0,10.0,0.9338698088906877,
27,ESHYDRO  GEN1,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 7, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 8, 80, 9",1751,MIUP.CLVHDRTN1,miso,ESHYDRO,,WAT,0,15.5,0.9985187322848328,
28,FIVCD    GEN1-2,"1, 2",1704,CONS.CCG_1.AZ,miso,"COOKD,FOOTE,FIVCD,LOUD",,WAT,0,17.5,0.9839055289325515,
29,FLAMBEAU FLM_G123_UNIT,"1, 2, 3",4142,DPC.FLAMBEAU,miso,FLAMBEAU,,WAT,0,14.5,1.0,
30,FONDLAC  FONDLA_1_UNIT,1,1894,MP.FONDLA1,miso,FONDLAC,,WAT,0,12.0,0.9190750241916102,
31,FOOTE    GEN1-3,"1, 2, 3",1705,CONS.CCG_1.AZ,miso,"COOKD,FOOTE,FIVCD,LOUD",,WAT,0,17.5,0.9990219203877557,
32,GRANDFTR GRANDFTR,"1, 2",4063,WPS.GRFTR.ARR,miso,GRANDFTR,,WAT,0,15.5,0.9756215883578865,
33,HARDY2   HYDRO,"1, 2, 3",1707,CONS.HARDY,miso,HARDY2,,WAT,0,17.5,0.9704662962351444,
34,HEMLOCK  HEM_HF1,"1, 2",4045,MIUP.WEPM,miso,"HEMLOCK,WAY",,WAT,0,15.5,0.6050980791515989,
35,HODENPYL HYDRO,"1, 2",1708,CONS.HODENPYL,miso,HODENPYL,,WAT,0,17.0,0.9556355449394623,
36,HOLCOMB  HOLC_HYD_UNIT,"1, 2, 3",4007,NSP.HOLCOM,miso,HOLCOMB,,WAT,0,16.5,0.7783080840337969,
37,HYDRO2   G1,"1, 2, 3",7246,EAI.AECCHYDRO2,miso,HYDRO2,,WAT,0,14.0,0.8658476270417699,
38,HYDRO9   G1,"1, 2, 3",7135,EAI.AECCHYDRO9,miso,HYDRO9,,WAT,0,13.5,0.9189813559297831,
39,JIM_FLS  JIMF_HYD_UNIT,"1, 2, 4",4008,NSP.JIMFL,miso,JIM_FLS,,WAT,0,15.5,0.7700950918981501,
40,KEOKUK   1,1,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,10.0,0.9278602150472611,
41,KEOKUK   10,10,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,9.0,0.8366777900062856,
42,KEOKUK   11,11,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,10.0,0.8996891056684173,
43,KEOKUK   12,12,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,9.0,0.900575477590024,
44,KEOKUK   13,13,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,9.0,0.906353234306552,
45,KEOKUK   14,14,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,10.5,0.7527109517819355,
46,KEOKUK   15,15,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,9.0,0.8977794878513733,
47,KEOKUK   2,2,1109,AMMO.KEOKUK10,miso,KEOKUK,,WAT,0,11.0,0.6961164156563354,
