generator_name,entity_id,plant_id,generator_id
KAMMER   ML2,22053.0,3948,2
KAMMER   ML1,22053.0,3948,1
924_TRIV GEN1_CC,63601.0,63931,GEN1	
924_TRIV GEN2_CC,63601.0,63931,GEN2
GUERNSPS 31CC,62806.0,62949,GPS3
GUERNSPS 11CC,62806.0,62949,GPS1
GUERNSPS 21CC,62806.0,62949,GPS2
CHENOWET FOXSQUSP,57170.0,67239,FOX01
LARAMIE  BEPM,1307.0,6204,1
HANNIBAL LONGRDCC,61762.0,61322,HPPP1
PSEGGLOB 5,61136.0,55503,ST1
PSEGGLOB 6,61136.0,55503,CTG1
PSEGGLOB 7,61136.0,55503,CTG2
PSEGGLOB 8,61136.0,55503,CTG3
HIBBMILL CTG-1,60131.0,60356,SFCT1
HIBBMILL CTG-2,60131.0,60356,SFCT2
HIBBMILL STG-1,60131.0,60356,SFST1
HIBBMILL STG-2,60131.0,60356,SFST2
DEERCRK  DCS1,1307.0,56610,01
DEERCRK  DCS1,1307.0,56610,02
ST_FRAN  STFRANCIS01,924.0,7604,1
ST_FRAN  STFRANCIS02,924.0,7604,2
CHAPELLE TPLH_WIND,56201.0,63103,WTG
SUB1363  TRTL1,14127.0,64547,2
SUB1363  TRTL1,14127.0,64547,1
ALTAFARM AFARMWF,63722.0,64088,WT2
ROSEHIL  SWEETLAND_WIND,65553.0,66496,SLW
DAKOTA   PRARQUEEN_KCPL,62010.0,62488,WT
FLATLICK 1,56558.0,55401,CT1
FLATLICK 2,56558.0,55401,CT2
FLATLICK 3,56558.0,55401,CT3
FLATLICK 4,56558.0,55401,CT4
FLATLICK 5,56558.0,55401,CT5
942_NELS GT3CT_1,49893.0,60387,GEN3
942_NELS GT4CT_1,49893.0,60387,GEN4
FINLEY   MADSNFSP,65860.0,66198,USMDF
RPMONE   1,7004.0,7872,1
RPMONE   2,7004.0,7872,2
RPMONE   3,7004.0,7872,3
935_KEND KDLCT-1,57141.0,55131,CTG1
935_KEND KDLCT-2,57141.0,55131,CTG2
935_KEND KDLCT-3,57141.0,55131,CTG3
935_KEND KDLCT-4,57141.0,55131,CTG4
935_KEND KDLST-1,57141.0,55131,STG1
935_KEND KDLST-2,57141.0,55131,STG2
935_KEND KDLST-3,57141.0,55131,STG3
935_KEND KDLST-4,57141.0,55131,STG4
SHANKATK BELLFLSP,62842.0,65031,INBF1
CREEKWLK HONEYSSP,62842.0,65936,INHS1
WILDCAT  WILLOWSP,56215.0,63877,WBS	
GUNNROAD SCIOT1WF,56215.0,58780,1
GUNNROAD SCIOT2WF,56215.0,58780,1
MUSEVILL MAPLEWSP,58468.0,65319,MAPL
NUNDRWD  WILD_SPRG_SLR,62759.0,67018,WLDSP
DAKOTA   PRARQUEEN_MPS,62010.0,62488,WT
E_FAYETT ARCHESP,62842.0,65402,ARCHE
PAULDNG3 PAUL3WF,60258.0,60470,1
969_ECOG HIGHPTSP,55918.0,56805,1
CAMPBLCO CAMPBLCO_WIND,56769.0,59655,CCWF1
FOWLER1  FWLR1CWF,55963.0,56777,FIC
REDEYE   BEDFRFSP,56769.0,63549,WSS
AXTON    AXTONSP,65658.0,66635,ENX20
994_HILL WHITNYWF,62103.0,62606,WTHWP
DELANO   SALTCTSP,64607.0,65302,SOLAR
CONTINEN BLUEHASP,65364.0,66249,GEN01
LONESMCK G6_UNIT,1307.0,57943,06
GRANITF  PALMERCREEK_WF,61815.0,62291,PCWF
HIGHMRWD HIGHMR_1_UNIT,34721.0,56092,GE15
EUFALA_D G1,27470.0,6419,1
EUFALA_D G2,27470.0,6419,2
EUFALA_D G3,27470.0,6419,3
REUSENS  RE1,57280.0,3779,1
REUSENS  RE2,57280.0,3779,2
REUSENS  RE3,57280.0,3779,3
REUSENS  RE4,57280.0,3779,4
REUSENS  RE5,57280.0,3779,5
123_MARE MARENGBS,62707.0,62856,MBSS
DKR_I_II DKR_I_II,17650.0,62943,GEN1
LLKSOL   G1,65676.0,66649,LLS
FVWSOL   G1,65981.0,67075,FFOR1
WEVER    J1734,9417.0,67538,PV1
QTZSOL   G1,65946.0,67038,QRTZ
ELIZBET  G1,65281.0,66111,US199
WCSOL    PV1,65405.0,66282,PV1
PARISSLR PAS_ESR1,20847.0,65967,PSLR2
RAGSOL   G1,65348.0,66240,GEN01
LIBSOL   G1,65874.0,67159,LIBCO
PRMSOL   G1,65648.0,66625,78661	
HVGSOL   G1,65650.0,66623,HGS
BGLSOL   G1,66001.0,67104,BAYOU
FILERCTY FILERCTY_MR,18414.0,50835,GEN1
913_BLOO BLOOM2WF,49893.0,63988,GEN1
980_WALN WALNT2WF,59359.0,58694,1
FREM_A   8,6779.0,2240,8
FREM_G   1,6779.0,2240,5OT
FREM_A   7,6779.0,2240,7
FREM_A   6,6779.0,2240,6
BOKESCR  UNIONSP,57416.0,64660,AUS	
ORAORA   ORAORASP,65588.0,66545,MMTHS
NBENDW   NTHBND_WIND,65929.0,67002,NBEND
BUCKSKIN ROSSCOSP,64673.0,65343,ROSS
KIRK     UNIONRSP,50123.0,65338,UNIS1
STEUBENV STEUBNSP,66061.0,66657,STEUB
PAYNE1   TIMBERSP,65365.0,66250,GEN01
929_JACK GEN1,62787.0,62926,01
929_JACK GEN2,62787.0,62926,02
PAULDNG4 PAUL42WF,56936.0,57620,GEN1
ELKINS   ELKINS,807.0,56489,A
ELKINS   ELKINS,807.0,56489,B
ELKINS   ELKINS,807.0,56489,C
JOU_WAUE BIG_WAU1_UNIT,14232.0,6098,1
JOU_WAUE NEAL4_JOU_WAUE,12341.0,1091,3
