earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,360.0,932.6,940.0,951.8,S01,S01,9.216409763171182,489.9110223463664,SUB,ST,11.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,348.0,850.0,855.0,870.0,OG1,OG1,9.976345958692663,107.60526659528917,LIG,ST,14.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,455.0,825.0,855.0,855.0,OG2,OG2,9.976345958692663,107.60526659528917,LIG,ST,13.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,360.0,811.0,834.0,840.0,1,1,9.394129899709153,396.52285444907335,SUB,ST,39.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,280.0,806.0,830.0,830.0,3,3,8.446464632502456,613.8684023519365,SUB,ST,45.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,280.0,805.0,825.0,830.0,2,2,9.060433305646999,483.12304049810086,SUB,ST,46.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,280.0,805.0,835.0,835.0,1,1,9.429158125684022,428.4549159095799,SUB,ST,47.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,363.0,794.0,854.0,858.0,2,2,9.394129899709153,396.52285444907335,SUB,ST,38.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,300.0,785.0,785.0,790.0,2,**2,10.63236300025301,180.61093409740548,SUB,ST,14.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,158.0,664.0,669.0,672.0,5,WAP5,8.761368400300112,364.5907929885668,SUB,ST,47.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,158.0,655.0,664.0,664.0,6,WAP6,9.442304643761464,610.1137975804938,SUB,ST,46.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,200.0,645.0,655.0,655.0,1,1,9.769281643413171,233.61099485732012,SUB,ST,44.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,227.0,600.0,610.0,614.0,8,WAP8,7.921660263936893,909.3082497190142,SUB,ST,42.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,155.3,590.7,602.6,608.3,2,2,10.180961940963043,283.8007634147094,SUB,ST,44.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,155.4,588.7,600.5,611.6,1,1,9.359101673734285,237.08699402192212,SUB,ST,45.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,226.0,576.0,579.0,583.0,7,WAP7,7.614512313133647,510.13252614112133,SUB,ST,44.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,135.0,560.0,560.0,565.0,1,1,9.394129899709153,396.52285444907335,SUB,ST,32.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,179.0,428.6,440.6,469.2,3,3,10.721252974403598,0.0,SUB,ST,36.0,,,,,coal
ercot_rt_se_20160402_H01,ercot_rt_se_20240331_H24,ERC,SOUT,220.0,380.0,393.0,397.0,1,SM-1,9.976345958692663,364.77618574968216,LIG,ST,42.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,80.0,155.0,155.0,157.0,1,U1,10.292950937476952,107.60526659528917,LIG,ST,34.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240225_H24,ERC,EAST,80.0,155.0,155.0,157.0,2,U2,9.460780904039053,55.70198066362086,LIG,ST,33.0,,,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240213_H24,ERC,SCEN,0.0,0.0,420.0,420.0,2,2,9.394129899709153,396.52285444907335,SUB,ST,46.0,1.0,2023.0,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240213_H24,ERC,SCEN,0.0,0.0,420.0,420.0,1,1,9.394129899709153,396.52285444907335,SUB,ST,47.0,1.0,2023.0,,,coal
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,0.0,0.0,1,1,10.261643577393821,212.72132601803744,SUB,ST,47.0,,,,,coal
