earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,93.0,730.0,751.0,753.0,2,CBY2,8.781359447299687,456.5176330416383,NG,ST,52.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,93.0,730.0,752.0,752.0,1,CBY1,9.139456502630926,470.0096028549588,NG,ST,54.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,200.0,568.0,568.0,568.0,8,8,9.717801005218236,335.46575827010844,NG,ST,57.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,45.0,515.0,523.0,523.0,2,2,9.445333705477413,348.13852179531256,NG,ST,51.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,94.0,512.0,552.0,552.0,4,4,9.432818113342988,206.24638162538653,NG,ST,56.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,35.0,502.0,502.0,502.0,ST2,2,8.947723663081073,397.4346295262323,NG,ST,59.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,120.0,435.0,435.0,435.0,4,4,9.965122924156823,277.50696732849497,NG,ST,48.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,120.0,435.0,435.0,435.0,5,5,10.35180928549627,311.08472517734043,NG,ST,47.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240216_H24,ERC,SCEN,50.0,420.0,428.0,428.0,2,2,9.35030328522443,270.82588580747966,NG,ST,46.0,3.0,2022.0,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,70.0,420.0,420.0,420.0,1,1,9.420302521208562,226.9238707310284,NG,ST,52.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,70.0,412.0,412.0,415.0,3,3,9.15329171840711,254.1289638723808,NG,ST,54.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,70.0,410.0,410.0,420.0,2,2,9.171040645318145,355.96963809199775,NG,ST,50.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20231017_H02,ERC,NCEN,100.0,395.0,395.0,395.0,3,3,9.039805621785101,336.3981245129192,NG,ST,61.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,56.0,392.0,392.0,393.0,1,1,11.00733280700361,199.4863844182528,NG,ST,54.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,36.0,390.0,395.0,395.0,2,2,9.203323014767008,217.8875103653395,NG,ST,55.0,,,,,gas
ercot_rt_se_20170427_H01,ercot_rt_se_20240331_H24,ERC,COAS,126.33333333333331,376.1666666666667,563.8,583.35,STG9,CT7,6.123703510637818,161.8196566997242,NG,CA,7.0,,,,,gas
ercot_rt_se_20161111_H19,ercot_rt_se_20240331_H24,ERC,COAS,126.33333333333331,375.5,554.7,583.35,CT8,CT8,6.1853473625940065,146.63020419157007,NG,CT,7.0,,,,,gas
ercot_rt_se_20160817_H01,ercot_rt_se_20240331_H24,ERC,COAS,126.33333333333331,374.8333333333333,563.8,1166.7,CT7,CT7,6.123703510637818,161.8196566997242,NG,CT,7.0,,,,,gas
ercot_rt_se_20170218_H01,ercot_rt_se_20240331_H24,ERC,NCEN,126.33333333333331,365.8,398.0,573.3,STG6,CGT4,5.991514005966442,279.8225171510994,NG,CA,7.0,,,,,gas
ercot_rt_se_20161023_H01,ercot_rt_se_20240331_H24,ERC,NCEN,126.33333333333331,365.4,1130.5,1130.5,CGT4,CGT4,5.991514005966442,279.8225171510994,NG,CT,7.0,,,,,gas
ercot_rt_se_20160729_H01,ercot_rt_se_20240331_H24,ERC,NCEN,126.33333333333331,363.3333333333333,558.5,1146.6,CGT5,CGT5,6.01847697963823,274.7406368645249,NG,CT,7.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240305_H08,ERC,SCEN,56.4,320.0,332.0,336.6,3,3,9.085638432712924,226.8375063643175,NG,ST,52.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,55.0,290.0,330.0,335.0,1,1,9.88462885893354,188.74344442881377,NG,ST,50.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,110.0,254.0,280.0,289.4,STK6,STK6,6.878247867296258,117.97165029543635,NG,CS,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,150.0,254.0,279.2,290.0,STK5,STK5,7.035496627136431,93.68698011496076,NG,CS,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,150.0,244.0,266.0,279.0,STK4,STK4,7.064900336729094,78.60167625700791,NG,CS,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240329_H06,ERC,NCEN,150.0,242.0,270.0,280.0,STK3,STK3,6.872397818543002,83.79596495727203,NG,CS,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,150.0,241.1,267.4,280.0,STK2,STK2,6.73649795472692,122.88351097993278,NG,CS,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,150.0,239.0,261.0,270.0,STK1,STK1,7.086550206340424,101.44437655188224,NG,CS,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,145.66666666666666,238.9333333333333,255.0,374.0,CTG-2,CTG2,7.588070945856623,0.0,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,145.66666666666666,238.66666666666663,255.0,375.95,CTG-1,CTG1,7.123968308314707,141.79280090236074,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,145.66666666666666,238.66666666666663,255.0,375.95,STG-1,CTG1,7.123968308314707,141.79280090236074,NG,CA,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,54.0,238.0,258.0,258.0,3,3,9.432818113342988,206.24638162538653,NG,ST,63.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,141.33333333333334,237.76666666666665,364.35,762.2,CTG-2,CTG2,7.113798246147002,0.0,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,141.1,237.73333333333332,366.1,756.8,CTG-1,CTG1,7.0838960946492895,0.0,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,141.13333333333333,237.7,253.26666666666665,380.3,STG-1,CTG1,7.0838960946492895,0.0,NG,CA,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,150.0,237.0,267.0,280.0,U3,STK3,6.623134125193992,166.63121684210859,NG,CS,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,142.16666666666666,236.3,253.9,750.2,CTG-3,CTG3,7.551976771178807,38.7317515910215,NG,CT,9.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,142.29999999999998,236.3,333.4,748.7,CTG-4,CTG4,7.545483719978468,0.0,NG,CT,9.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,142.06666666666666,236.23333333333332,253.3,377.25,STG-2,CTG1,7.123968308314707,141.79280090236074,NG,CA,9.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,50.0,235.0,240.0,245.0,6,9,10.119882523926671,337.78440210776074,NG,ST,59.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,104.66666666666669,234.33333333333331,382.0,810.0,GT2,GT-2,6.025769929790626,280.4670431394181,NG,CT,20.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,103.83333333333331,234.33333333333331,270.0,410.5,ST1,GT-1,6.016835369679156,298.9784944477109,NG,CA,20.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,104.66666666666669,234.33333333333331,370.5,810.0,GT1,GT-1,6.016835369679156,298.9784944477109,NG,CT,20.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,46.0,234.0,239.0,239.0,1,1,8.168446195019545,213.00637883252026,NG,ST,64.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,150.0,232.2,260.0,270.0,U4,STK4,6.621014104848129,132.4808369991138,NG,CS,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,150.0,231.0,262.9,275.0,U2,STK2,6.647406155566573,142.186715666972,NG,CS,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,60.0,230.0,230.0,230.0,2,2,9.08029513416336,195.60836955364846,NG,ST,56.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,100.0,228.63333333333333,368.0,768.9,CTG2,CTG2,6.074321043656628,351.7609064673721,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,227.6,246.45,469.0,ST1,U1,6.980937335215352,0.0,NG,CA,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,227.575,246.45,469.0,U1,U1,6.980937335215352,0.0,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,227.55,246.05,481.5,U3,U3,6.9096661584138666,27.34162345970117,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,227.55,246.05,481.5,U2,U2,7.039734548872246,0.0,NG,CT,21.0,,,,,gas
