earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20230227_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,182.8,190.0,190.0,SPUT,SPUT,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230323_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,150.0,150.0,150.0,1,1,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230717_H13,ercot_rt_se_20240331_H24,ERC,FWES,0.0,150.0,150.0,150.0,1,1,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20211201_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,115.5,121.8,121.8,ASWBE,ASWBE,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230802_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,115.1,145.0,145.0,RODE1,RODE1,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230802_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,114.8,145.0,145.0,RODE1,RODE1,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20210401_H13,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,100.0,101.7,101.7,CHS01,CHS01,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20211029_H15,ercot_rt_se_20240331_H24,ERC,FWES,0.0,100.0,100.0,100.0,FLRV1,FLRV1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20211029_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,100.0,100.0,100.0,BA,BA,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20220316_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,100.0,100.0,100.0,MAD01,MAD01,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20220316_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,100.0,100.0,100.0,IGN01,IGN01,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20210401_H19,ercot_rt_se_20240331_H24,ERC,COAS,0.0,100.0,100.0,100.0,1,1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20210418_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,93.1,100.5,100.5,NF,NF,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20210603_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,92.4,100.5,100.5,BC,BC,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20210809_H19,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,77.6,77.6,77.6,ASKYB,ASKYB,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20211216_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,66.5,66.5,66.5,BESS,BESS,,,MWH,BA,2.0,,,,,hydro
