earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20220727_H19,ercot_rt_se_20240331_H24,ERC,EAST,0.0,50.0,50.0,50.0,BLUJS,BLUJS,,,SUN,PV,,,,5.0,2024.0,solar
ercot_rt_se_20211111_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,23.0,25.1,25.1,UCTX,UCTX,,,SUN,PV,7.0,,,,,solar
ercot_rt_se_20191005_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.4,100.0,101.0,WOTP1,WOTP1,,,SUN,PV,5.0,,,,,solar
ercot_rt_se_20210410_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,0.2,147.6,147.6,LILY,LILY,,,SUN,PV,3.0,,,,,solar
ercot_rt_se_20191125_H19,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.2,100.0,100.7,LAP,LAP,,,SUN,PV,5.0,,,,,solar
ercot_rt_se_20200205_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,0.2,199.9,200.0,RMBLR,RMBLR,,,SUN,PV,4.0,,,,,solar
ercot_rt_se_20230219_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,0.2,133.1,144.9,FILES,FILES,,,SUN,PV,1.0,,,,,solar
ercot_rt_se_20211213_H08,ercot_rt_se_20240331_H24,ERC,COAS,0.0,0.1,161.5,180.4,2222,2222,,,SUN,PV,,,,8.0,2024.0,solar
ercot_rt_se_20220624_H15,ercot_rt_se_20240331_H24,ERC,COAS,0.0,0.1,99.2,100.0,BRZ01,BRZ01,,,SUN,PV,2.0,,,,,solar
ercot_rt_se_20200710_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.1,127.2,128.8,PV1,PV1,,,SUN,PV,3.0,,,,,solar
ercot_rt_se_20220707_H18,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,0.1,103.0,165.3,ROSES,ROSES,,,SUN,PV,1.0,,,,,solar
ercot_rt_se_20210122_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.1,222.0,222.0,PV1,PV1,,,SUN,PV,3.0,,,,,solar
ercot_rt_se_20220630_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.1,199.9,200.0,785,785,,,SUN,PV,2.0,,,,,solar
ercot_rt_se_20201116_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.1,233.3,234.2,2WPSO,2WPSO,,,SUN,PV,3.0,,,,,solar
ercot_rt_se_20201116_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.1,186.7,189.0,2WPSO,2WPSO,,,SUN,PV,3.0,,,,,solar
