earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,94.0,223.5,230.0,GEWTG,GEWTG,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20180108_H11,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,89.8,194.7,200.0,FTWI,FTWI,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20190719_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,87.0,207.1,210.1,CBRKS,CBRKS,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,85.4,149.0,150.0,RT661,RT661,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20181015_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,80.3,194.8,198.1,WTGS,WTGS,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20221218_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,80.2,202.0,203.4,WINER,WINER,,,WND,WT,1.0,,,,,wind
ercot_rt_se_20191011_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,78.6,182.1,186.5,BS3,BS3,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20190524_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,75.8,183.6,183.7,LOC,LOC,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,73.3,203.6,211.1,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20160306_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,71.2,209.7,213.0,1,1,,,WND,WT,19.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,67.9,213.9,231.7,1,1,,,WND,WT,17.0,,,,,wind
ercot_rt_se_20221222_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,67.2,157.2,157.9,WAPPA,WAPPA,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20210616_H13,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,67.1,220.9,225.4,WTW,WTW,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20171211_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,66.0,151.4,152.6,GEN1,GEN1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20211009_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,65.7,182.4,183.3,WM001,WM001,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160503_H10,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,65.5,219.7,223.5,2,2,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,65.4,191.3,200.0,GEN1,GEN1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160528_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,65.4,189.5,199.2,GEN1,GEN1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160102_H01,ercot_rt_se_20231221_H07,ERC,WEST,0.0,64.8,214.7,223.5,3,3,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20160715_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,64.8,139.1,140.5,1,1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20171211_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,64.4,146.4,147.6,GEN1,GEN1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,64.4,202.7,204.1,SHAN1,SHAN1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20190515_H12,ercot_rt_se_20240331_H24,ERC,FWES,0.0,63.6,148.2,150.0,RAN,RAN,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20170825_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,63.5,189.1,196.6,BRKAT,BRKAT,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20190515_H12,ercot_rt_se_20240331_H24,ERC,FWES,0.0,62.1,147.8,149.8,RAN,RAN,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20200621_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,61.1,196.1,199.0,AVTOR,AVTOR,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,60.9,138.3,143.7,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20170317_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,60.2,162.1,163.2,ASTRA,ASTRA,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20190401_H16,ercot_rt_se_20240331_H24,ERC,WEST,0.0,60.0,147.9,150.1,STRAE,STRAE,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20181106_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,59.6,146.8,149.9,TAH,TAH,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20200811_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,59.4,188.4,196.8,MVRCK,MVRCK,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,58.8,155.8,160.9,GEN1,GEN1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20181106_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,58.1,148.0,150.0,TAH,TAH,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20191101_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,58.1,193.3,201.6,MES,MES,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20190401_H16,ercot_rt_se_20240331_H24,ERC,WEST,0.0,57.9,146.9,150.1,STRAE,STRAE,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20170115_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,57.5,149.6,151.2,OSWF,OSWF,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20221102_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,56.6,138.2,138.2,LCW1,LCW1,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20190630_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,56.5,181.2,184.6,FOARD,FOARD,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20181019_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,56.4,197.5,201.0,WT1,WT1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20191216_H08,ercot_rt_se_20240331_H24,ERC,FWES,0.0,56.0,165.2,169.2,SD,SD,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,56.0,138.3,144.1,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20181223_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,55.4,146.6,148.7,TWE,TWE,,,WND,WT,5.0,,,,,wind
