generator_name,entity_id,plant_id,generator_id
SIKESTON 161 12 SIKEGEN UN,17177.0,6768,1
SUB1363 161 TR1 TRTL1 UN,14127.0,64547,1
SUB1363 161 TR2 TRTL2 UN,14127.0,64547,2
ST_FRAN 16 2522 STFRANCIS02 UN,924.0,7604,2	
ST_FRAN 16 2521 STFRANCIS01 UN,924.0,7604,1
CBLUFFS 24 U3 WSEC_3_UNIT UN,12341.0,1082,3
CBLUFFS 345 U42 WSEC_4_UNIT UN,12341.0,1082,4
NENGLDBT 34.5 9001 NENGL_UNIT1 UN,12341.0,62133,1
NENGLDBT 34.5 9001 NENGL_UNIT1 UN,12341.0,62133,GT1
ARBHLDEZ 34.5 9001 ARBHL_UNIT1 UN,12341.0,62132,1
ARBHLDEZ 34.5 9001 ARBHL_UNIT1 UN,12341.0,62132,WT1
CHEMOL 115 7024 LSPOWE_1_UNIT UN,55912.0,55010,CTG1
CHEMOL 115 7024 LSPOWE_1_UNIT UN,55912.0,55010,STG1
ANSON 115 700Z EQ_UN_7002 UN,13781.0,7237,1
ANSON 115 700Z EQ_UN_7002 UN,13781.0,7237,2
ANSON 18 9100 ANSON_4_UNIT UN,13781.0,7237,4
DOUD2 161 5022 GREATPATHFINDR UN,64989.0,65715,GPFWF
MANKATEC 15 9002 MANKAT_2_UNIT UN,63705.0,56104,CTG1
MANKATEC 115 7007 MANKAT_1_UNIT UN,63705.0,56104,CTG2
MANKATEC 20 9007 MANKAT_3_UNIT1 UN,63705.0,56104,STG1
MANKATEC 20 9008 MANKAT_3_UNIT2 UN,63705.0,56104,STG1
IDACWFIW 34.5 9009 IDACW_UNIT1 UN,12341.0,62795,1
FREEBORN 161 5000 WIND UN,13781.0,64623,FBW01	
STORY_CO 34.5 9008 STORYCO1_FPLP UN,56119.0,56924,GE15
INVRHLS 115 702Z EQ_UN_7020 UN,13781.0,1913,1
INVRHLS 115 702Z EQ_UN_7020 UN,13781.0,1913,2
INVRHLS 115 702Z EQ_UN_7020 UN,13781.0,1913,3
ROCK_CO 34.5 9011 WALLEYEW UN,65015.0,65764,WWLLC
BUFFRID 34.5 9917 J545_UN_DIR UN,65012.0,65761,3161
CLCG 69 8009 CLCG_2_UNIT UN,772.0,10860,2A
CLCG 69 8008 CLCG_1_UNIT UN,772.0,10860,1A
CARROLL 161 5027 CARROLL_2_UNIT UN,12341.0,56809,CWF
RICHLNDW 345 3004 SACCOWIND UN,64261.0,64662,SAC
WORT 34 9100 TOPIAW_UNIT UN,15399.0,56383,TOI2
BROOKE 69 934 STORMLK_2 UN,59496.0,55287,EXIS
KOSSUTHW 345 3100 J534_NEER UN,64979.0,65725,KCW
INPNDCEW 161 5003 INDEPENDENCEWF UN,63802.0,64183,IWE
PRESCOT 69 907 PRESCTW UN,65857.0,66952,PWE
DUANARN 34.5 3002 DA1_J504_SOL UN,9417.0,67140,PV1
DUANARN 34.5 3003 DA2_R1020_SOL1 UN,9417.0,67537,PV1
DUANARN 34.5 3007 DA2_R1020_SOL2 UN,9417.0,67537,PV1
DUANARN 34.5 3008 DA2_R1020_SOL3 UN,9417.0,67537,PV1
CRESTNR 69 921 CRESESOL UN,9417.0,67536,PV1
OAKGLNW 34.5 9006 G604_UNIT UN,12667.0,57432,1
JEFFWDNS 69 8002 JEFFWD_2_UNIT UN,13781.0,56750,1
BOND_SS 34.5 9001 H007_UNIT UN,60025.0,57417,NORD
SHERCO 26 9910 SHERCO3_SMP UN,13781.0,6090,3
SHERCO 26 9909 SHERCO3_NSP UN,13781.0,6090,3
SHERCO 24 9005 SHERCO_1_UNIT UN,13781.0,6090,1
JOU_ALTW 24 C3 WSEC3_UNIT UN,12341.0,7343,4
JOU_ALT3 22 9100 JOUNEAL3 UN,12341.0,1091,3
WLBRGMEC 34.5 9001 WLBRGMEC_UNIT UN,12341.0,58886,WBWF
WLBRGMEC 34.5 9003 IVESTER_UNIT1 UN,12341.0,61911,WT1
STORY_CO 161 5101 FPLPWIND_UNIT UN,56119.0,56924,GE15
RIVRSID 16 9100 RIVRSI_7_UN1 UN,13781.0,1927,ST7
RIVRSID 16 9101 RIVRSI_7_UN2 UN,13781.0,1927,ST7
RIVRSID 18 9003 RIVRS_10_UN UN,13781.0,1927,10
RIVRSID 18 9002 RIVRSI_9_UN UN,13781.0,1927,9
