orispl,unit,from_datetime,to_datetime,gload_max,gload_p90,gload_min,from_datetime_fitting,to_datetime_fitting,data_url,fitting_param_x,fitting_param_intercept,r2_score
51,1,1996-12-31 18:00:00-06:00,2021-11-17 21:00:00-06:00,738.0,701.0,0.0,2020-05-30 08:00:00-05:00,2021-11-17 21:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/51_1.parquet,7.992010836429872,563.3929662462915,0.7121013729525354
54,SCT1,1999-12-31 18:00:00-06:00,2023-12-22 02:00:00-06:00,149.0,110.0,0.0,2020-01-24 00:00:00-06:00,2023-12-22 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT1.parquet,12.5545604720043,50.67998537719934,0.983922559930401
54,SCT10,2010-01-29 17:00:00-06:00,2023-12-04 03:00:00-06:00,111.0,87.0,0.0,2020-01-02 11:00:00-06:00,2023-12-04 03:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT10.parquet,7.080918184970951,143.43246313965838,0.9457772555399214
54,SCT2,1999-12-31 18:00:00-06:00,2023-12-21 03:00:00-06:00,150.0,111.0,0.0,2020-01-28 00:00:00-06:00,2023-12-21 03:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT2.parquet,12.540667128785538,54.419324514076344,0.988178665083093
54,SCT3,1999-12-31 18:00:00-06:00,2023-12-21 13:00:00-06:00,150.0,108.0,0.0,2020-01-29 00:00:00-06:00,2023-12-21 13:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT3.parquet,12.475193568782268,49.09690785025535,0.9874778690190039
54,SCT4,2001-12-19 02:00:00-06:00,2023-12-22 02:00:00-06:00,101.0,79.0,0.0,2020-01-21 00:00:00-06:00,2023-12-22 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT4.parquet,12.606022932520224,46.54703139129058,0.9494298675781829
54,SCT5,2001-12-26 02:00:00-06:00,2023-12-22 02:00:00-06:00,100.0,83.0,0.0,2020-01-21 06:00:00-06:00,2023-12-22 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT5.parquet,12.236692483002331,33.11327490190185,0.9842837971155296
54,SCT6,2004-12-11 09:00:00-06:00,2023-12-22 02:00:00-06:00,100.0,84.0,0.0,2020-01-22 00:00:00-06:00,2023-12-22 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT6.parquet,12.138187894500202,41.81785545130518,0.9788983490246594
54,SCT7,2004-12-22 05:00:00-06:00,2023-12-22 02:00:00-06:00,98.0,83.0,0.0,2020-01-22 01:00:00-06:00,2023-12-22 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT7.parquet,12.294605505765047,39.46602019660159,0.9770045043496006
54,SCT9,2010-02-02 07:00:00-06:00,2023-12-22 02:00:00-06:00,108.0,87.0,0.0,2020-01-02 10:00:00-06:00,2023-12-22 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/54_SCT9.parquet,7.597975326123868,98.11419445047831,0.9688998863128429
